,Title,Start Date,End Date,Description,Venue,Address,City,Postal Code,Country,Organizer,Website,Categories,Image URL,Source URL,desc2
40,« Quand viendra la vague »,2024-07-04T00:00:00+02:00,,Restitution de fin de cycle des élèves de la Cie Keichad. D’après le texte de Alice Zeniter.,Le Scènacle,6 Rue de la Vieille Monnaie,Besançon,25000.0,France,Le scènacle,https://www.helloasso.com/associations/le-scenacle/evenements/jeudi-4-juillet-17-h-30-quand-viendra-la-vague-piece-de-theatre-2?fbclid=IwAR1P3NaX18EOTPGRSbioERNHkexs5vygCk4_K8H4BTPus_uUeypUv1LpcHI_aem_Afa1U1LzM288Ct9D0xcBhCre91MpX2MA3QG1O90hUu-OmoByJDbyWHIQv8l6Ud1Vzyk5sb8V1RY54L5BexpXntta,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/434431750_1319130305692577_775149451702757722_n.jpg,https://sortir.besancon.fr/evenement/quand-viendra-la-vague/,"Clôture du parcours des élèves de la Compagnie Keichad, inspirée du texte d'Alice Zeniter. Cette restitution marque la fin d'un cycle pour ces jeunes artistes qui ont travaillé dur pour parvenir à ce stade. Leur parcours est jalonné de moments forts et de défis relevés avec succès, preuve de leur détermination et de leur passion pour le spectacle vivant. 

La Compagnie Keichad a su créer un environnement propice à l'expression artistique, offrant aux élèves les moyens de développer leurs compétences et de prendre confiance en eux-mêmes. Grâce à ce dispositif, ils ont pu explorer différents aspects du métier d'acteur, de la mise en scène à la création de personnages, en passant par l'improvisation et la prise de risque. 

Le texte d'Alice Zeniter a servi de base pour cette restitution, qui met en valeur les réalisations des élèves. Il offre un éclairage sur leur cheminement, leurs succès et leurs difficultés, mais également sur les valeurs qui les ont guidés tout au long de leur parcours. 

La cérémonie de clôture est l'occasion pour ces jeunes artistes de montrer ce qu'ils ont appris, mais également de partager avec le public leur créativité et leur énergie. Elle représente un moment de fierté pour la Compagnie Keichad, qui peut être satisfaite du travail accompli par ses élèves. 

C'est ainsi que les élèves de la Compagnie Keichad entrent dans une nouvelle phase de leur carrière artistique, armés de leurs compétences et de leur confiance en eux-mêmes. Ils ont désormais les clés pour ouvrir les portes du monde du spectacle vivant et y faire leur place."
41,Un Peu de Serious,2024-07-06T00:00:00+02:00,,Cette année « Un Peu de Serious » aura lieu le Samedi 6 juillet à partir de 15h00 aux pépinières d’Avanne.,Chapiteau d’Avanne,,,,,The SeriousRoad Trip,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/logo-seul.jpg,https://sortir.besancon.fr/evenement/un-peu-de-serious/,"Le samedi 6 juillet, à partir de 15 heures, les pépinières d'Avanne seront le lieu de rendez-vous pour l'événement ""Un Peu de Serious"" qui se tiendra cette année. Cet événement attendu aura lieu dans un endroit naturel et paisible, propice à la détente et au divertissement. Les participants auront ainsi l'opportunité de s'éloigner du tumulte quotidien et de profiter d'un moment de plaisir en compagnie d'autres personnes partageant les mêmes intérêts. L'ambiance sera donc festive et conviviale, avec peut-être quelques surprises et animations qui viendront égayer l'atmosphère. Les pépinières d'Avanne, connues pour leur beauté naturelle, offriront un décor idéal pour cet événement incontournable de l'année. Le samedi 6 juillet, il sera donc temps de se retrouver aux pépinières d'Avanne à partir de 15 heures pour vivre ""Un Peu de Serious"" dans une ambiance chaleureuse et conviviale. Cet événement promet d'être un moment inoubliable pour tous les participants, qui auront ainsi l'opportunité de créer des souvenirs et de partager des instants magiques avec leurs amis et leurs proches."
42,Un Peu de Serious,2024-07-06T00:00:00+02:00,,Infos :,Chapiteau d’Avanne,,,,,The SeriousRoad Trip,https://chb.theseriousroadtrip.org/un-peu-de-serious-2022-7/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/couleur_serious_pour_mail_.jpg,https://sortir.besancon.fr/evenement/un-peu-de-serious-2/,"Informations : 

Il est important de fournir des informations précises et détaillées pour que les utilisateurs puissent comprendre le contexte et prendre des décisions éclairées. Ces informations peuvent inclure des descriptions, des spécifications, des caractéristiques, des avantages, des fonctionnalités, des exigences, des conseils, des avertissements, des mises en garde, des recommandations, des astuces, des trucs, des secrets, des clés, des indices, des signaux, des repères, des balises, des indicateurs, des marqueurs, des références, des sources, des liens, des adresses, des coordonnées, des contacts, des informations de base, des données, des faits, des chiffres, des statistiques, des résultats, des conclusions, des synthèses, des résumés, des abstracts, des annotations, des légendes, des notes, des remarques, des commentaires, des évaluations, des critiques, des analyses, des interprétations, des explications, des définitions, des descriptions détaillées, des illustrations, des exemples, des cas d'étude, des scénarios, des simulations, des jeux de rôle, des exercices, des quiz, des tests, des épreuves, des challenges, des défis, des concours, des compétitions, des tournois."
43,Panorama sonore,2024-07-11T00:00:00+02:00,2024-07-13T23:59:59+02:00,"La Citadelle de Besançon vous propose 3 soirées de concerts dans le parc Saint-Étienne avec les lumières de la ville pour décor, des artistes locaux, nationaux et internationaux aux esthétiques variées (hip hop, scène régionale, pop, électro) qui dessineront pour vous un panorama sonore exceptionnel.",Parc Saint-Etienne,,,,,Citadelle de Besançon,https://www.citadelle.com/agenda/panorama-sonore-2024-jeanne-added-en-solo-piano-voix-matis-akengin-piano-voix-kid-francescoli-electro-pop/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/30Jeanne_Added_Philarmonie_Paris_Ben-Pi-scaled-600x0-c-default.jpg,https://sortir.besancon.fr/evenement/panorama-sonore/,"La Citadelle de Besançon vous invite à trois soirées inoubliables de concerts dans le parc Saint-Étienne, où la ville éclairée servira de toile de fond. Des artistes locaux, nationaux et internationaux, aux styles esthétiques très variés - du hip hop au pop, en passant par l'électro et la scène régionale - se produiront sur scène pour vous offrir un paysage sonore unique et exceptionnel. Vous aurez ainsi l'opportunité de découvrir ou de retrouver des talents confirmés ou émergents, qui viendront stimuler vos sens et vous faire vibrer au rythme de leurs mélodies. La Citadelle de Besançon, avec son architecture historique et son emplacement privilégié, sera le lieu idéal pour une expérience musicale inédite, où la beauté du site et la qualité des performances se conjugueront pour vous offrir trois soirées à jamais oublier."
44,Inventaire : participez à une une résidence dansée avec l’arÊTE,2024-07-15T00:00:00+02:00,2024-07-19T23:59:59+02:00,"L’arÊTE cherche des participants pour INVENTAIRE cet été ! Venez jouer, danser…",Le Café des Pratiques,105 Rue de Belfort,Besançon,25000.0,France,l’arÊTE,,"Loisirs, Spectacle",https://sortir.besancon.fr/wp-content/uploads/2022/06/silhouette-g7981d8da3_1920-e1654585815873.jpg,https://sortir.besancon.fr/evenement/inventaire-participez-a-une-une-residence-dansee-avec-larete/2024-07-15/,"L'arÊTE lance un appel à tous les créatifs pour rejoindre l'événement INVENTAIRE cet été ! Rejoignez-nous pour une expérience unique qui allie jeu, danse et expression artistique. Venez explorer vos talents cachés, libérer votre imagination et vous laisser porter par la musique et le mouvement. INVENTAIRE est l'endroit idéal pour se détacher du quotidien et s'adonner à la créativité sans limites. Vous aurez l'opportunité de jouer, danser, chanter, créer et partager vos passions avec d'autres personnes partageant les mêmes intérêts. L'événement promet d'être une expérience inoubliable, où vous pourrez vous épanouir, vous amuser et créer des souvenirs impérissables. Alors n'hésitez plus, rejoignez-nous cet été pour vivre l'aventure INVENTAIRE !"
45,La Nuit des Icares,2024-08-24T00:00:00+02:00,,"Chaque année se déroule en Isère le plus grand festival de vol libre au monde, la Coupe Icare.",Complexe sportif de la Malcombe,Boulevard François Mitterand,Besançon,25000.0,France,Besancon Vol Libre,https://besancon-vol-libre.fr/nuit-des-icares/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/05/Affiche-Nuit-Des-Icares-1-1-1-1_11zon.png,https://sortir.besancon.fr/evenement/la-nuit-des-icares/,"En Isère, le plus grand événement aérien de la planète prend place chaque année : la Coupe Icare, un festival de vol libre incontournable qui attire des passionnés du monde entier. Pendant plusieurs jours, les cieux isérois sont envahis par des centaines de pilotes venus défier les airs et présenter leurs talents dans diverses disciplines aériennes. La compétition est rude mais l'ambiance est festive et conviviale, avec des spectateurs qui viennent nombreux pour admirer les évolutions aériennes des participants. Les organisateurs ont mis en place un dispositif exceptionnel pour accueillir cette foule de fans du vol libre, avec des infrastructures de pointe et des animations en tout genre. La Coupe Icare est ainsi devenue un rendez-vous incontournable pour les amateurs de sensations fortes et de voltige aérienne. Le festival offre également une opportunité unique de découvrir les dernières innovations dans le domaine du vol libre, avec des exposants qui présentent leurs produits et services liés à ce sport extrême. En somme, la Coupe Icare est un événement majeur qui célèbre la liberté de voler et rassemble les passionnés du monde entier autour d'une même passion."
46,Lilian Renaud,2024-09-06T00:00:00+02:00,,"Dernière date de sa tournée ‘ »Dans un moment de bonheur Tour ». Et il termine « à la maison », en Franche-Comté, au Grand Kursaal de Besançon !!",Grand Kursaal,2 Place du Théâtre,Besançon,25000.0,France,Culture Club Besac,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/12/407774610_825336489391271_6842964260579969329_n.jpg,https://sortir.besancon.fr/evenement/lilian-renaud/,"La dernière étape de sa tournée intitulée ""Dans un moment de bonheur Tour"" prend fin avec un retour aux sources, dans son pays natal, en Franche-Comté, plus précisément au Grand Kursaal de Besançon. C'est là qu'il mettra un terme à cette aventure musicale qui l'a mené à travers la France et peut-être même au-delà des frontières. Le public bisontin aura ainsi le privilège de vivre ce moment unique, cette soirée inoubliable où il prendra congé de sa tournée pour se ressourcer avant de nouveaux défis. Et quels meilleurs plans que de finir en beauté, à la maison, entouré de ses proches et de ses fans qui l'ont suivi tout au long de cette aventure musicale ? Le Grand Kursaal de Besançon sera donc le théâtre de ce dernier concert, où il donnera le maximum de lui-même pour offrir un spectacle inoubliable à son public."
47,Clio,2024-10-01T00:00:00+02:00,,"Depuis la révélation d’un premier album, Clio, en 2016, la confirmation de Déjà Venise (2019) et de L’amour hélas (2021) et comme d’autres autrices-compositrices avant elle, de Kate Bush à Tori Amos, Clio mène son travail d’écriture en solitaire, entre Paris et chez elle, dans ce qu’elle appelle son « atelier permanent de construction de chansons ». Ce qui n’empêche guère ses chansons de séduire un large public grâce à l’accessibilité du streaming, on écoute Clio à Bruxelles, Montréal, Mexico, Istanbul ou encore Santiago !",Petit Kursaal,2 Place du Théâtre,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/clio/661014fc31bbf/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/affiche-site-clio.jpg,https://sortir.besancon.fr/evenement/clio/,"Depuis le lancement de son premier album éponyme en 2016, suivie des confirmations de Déjà Venise en 2019 et L’amour hélas en 2021, Clio a suivi la même voie que certaines autrices-compositrices avant elle, comme Kate Bush ou Tori Amos, en menant son travail d’écriture en solitaire. Cette démarche introspective lui permet de créer des chansons dans l’intimité de son espace créatif, qu’elle appelle son « atelier permanent de construction de chansons », situé entre Paris et sa résidence personnelle. Pourtant, malgré cette approche individuelle, ses compositions ont réussi à séduire un large public, grâce notamment à la facilité d’accès offerte par le streaming. Aujourd’hui, on peut écouter Clio dans les villes de Bruxelles, Montréal, Mexico, Istanbul ou encore Santiago, témoignant ainsi de l’universalité de sa musique. Cette présence internationale est un juste retour des choses pour une artiste qui a toujours mis en avant la liberté créative et l’indépendance dans son processus de création musicale."
48,Malik Bentalha,2024-10-03T00:00:00+02:00,,Retrouvez le one-man show « Nouveau Monde » de Malik Bentalha en tournée partout en France.,Grand Kursaal,2 Place du Théâtre,Besançon,25000.0,France,,https://ngproductions.fr/spectacle/malik-bentalha/657c1f84063a1/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/01/MALIK-BENTALHA.jpg,https://sortir.besancon.fr/evenement/malik-bentalha/,"Partez à la découverte du spectacle solo incontournable « Nouveau Monde » de Malik Bentalha, qui fait son chemin à travers la France entière. Ce one-man show exceptionnel vous emporte dans un univers créatif et passionnant, où l'humour, le théâtre et la musique se rencontrent pour créer une expérience inoubliable. Malik Bentalha, maître de cérémonie, vous guide avec talent et sensibilité à travers ce voyage initiatique qui explore les thèmes qui font notre monde d'aujourd'hui. N'hésitez plus, rejoignez la tournée de « Nouveau Monde » et laissez-vous porter par l'énergie créative de cet artiste hors norme. Quelle que soit la ville où vous vous trouviez en France, Malik Bentalha et son spectacle solo inoubliable seront bientôt à proximité pour vous offrir une soirée mémorable. Alors, n'attendez plus, réservez vos places dès maintenant et vivez l'expérience « Nouveau Monde » !"
49,Sandrine Sarroche,2024-10-11T00:00:00+02:00,,"Après le succès  triomphe raz-de-marée de « La Loi du Talon », Sandrine Sarroche nous revient avec de nouveaux sketchs, de nouvelles chansons, de nouveaux personnages plus insolents décapants hilarants que jamais.",Le Scènacle,6 Rue de la Vieille Monnaie,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/sandrine-sarroche/6620eeecb196d/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/Template-Affiche-Siteweb-SandrineSarroche.jpg,https://sortir.besancon.fr/evenement/sandrine-sarroche/,"Après le triomphe éclatant de son précédent spectacle, ""La Loi du Talon"", Sandrine Sarroche fait son grand retour avec une nouvelle série de sketchs qui promettent d'être plus osés, plus décapants et plus hilarants que jamais. Les nouveaux personnages qu'elle incarne sont encore plus insolents et plus drôles que ceux que nous avons déjà eu le plaisir de découvrir. Les chansons sont nouvelles, les idées fraîches et l'humour toujours aussi sarcastique et grinçant. Cette nouvelle production s'annonce comme un vrai show stoppeur qui va nous faire rire, nous faire réfléchir et peut-être même nous faire rougir de plaisir. Sandrine Sarroche est une comédienne accomplie qui maîtrise à merveille l'art de la satire et du décalage, et il est évident que cette nouvelle création va être un autre grand succès. Les fans de ""La Loi du Talon"" vont être ravis de retrouver leur idole dans une nouvelle aventure qui promet d'être tout simplement inoubliable."
50,Le bal rose,2024-10-12T00:00:00+02:00,,"A l’occasion d’Octobre rose, l’association Franche-Comté Danse Sportive vous invite à son Bal Rose.",Grand Kursaal,2 Place du Théâtre,Besançon,25000.0,France,Franche-Comté Danse Sportive,,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/V1-Web-850x850-min.jpg,https://sortir.besancon.fr/evenement/le-bal-rose/,"À l'approche du mois d'octobre, traditionnellement associé à la lutte contre le cancer du sein, l'association Franche-Comté Danse Sportive vous convie à un événement exceptionnel : son Bal Rose. Ce gala annuel est l'occasion idéale pour se retrouver entre amis et sympathisants de l'association, tout en soutenant une noble cause. Vous êtes donc chaleureusement invités à cette soirée qui promet d'être animée par une ambiance festive et des émotions fortes. Le Bal Rose est également l'opportunité de découvrir les talents des danseurs sportifs de Franche-Comté, qui se produiront sur scène pour votre plaisir. Vous pourrez ainsi admirer leurs performances exceptionnelles, tout en vous amusant et en soutenant une bonne cause. L'association Franche-Comté Danse Sportive est déterminée à faire de ce Bal Rose un moment inoubliable, et elle compte sur votre présence pour rendre cet événement encore plus spécial. Alors n'hésitez pas à réserver vos places et à vous joindre à cette soirée unique qui célèbrera la vie, l'espoir et la solidarité."
51,Pat Metheny,2024-10-12T00:00:00+02:00,,"Le guitariste et compositeur PAT METHENY, lauréat de 20 Grammy Awards, lance une tournée solo pour coïncider avec la sortie de son nouvel album MoonDial, qui sortira le 26 juillet chez BMG et qui fait suite à l’album Dream Box, nominé aux Grammy Awards en 2023. La tournée, la première du genre pour Metheny, comprendra des morceaux personnels et des morceaux préférés des fans, issus de sa carrière de près de 50 ans.",Théâtre Ledoux,Rue Megevand,Besançon,25000.0,,Le Bruit Qui Pense,https://www.facebook.com/events/7747979221888596,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/432773126_935492604684496_5479669755413436221_n-e1713259065965.jpg,https://sortir.besancon.fr/evenement/pat-metheny/,"Le légendaire guitariste et compositeur PAT METHENY, détenteur de 20 prestigieux Grammy Awards, se lance dans une tournée solo inédite pour célébrer la sortie de son nouvel opus MoonDial, qui sera disponible à partir du 26 juillet chez BMG. Cette nouvelle production fait suite à l'album Dream Box, nominé aux Grammy Awards en 2023. Pour la première fois de sa carrière, Metheny se produit seul sur scène, interprétant un répertoire personnel et des favoris des fans, puisés dans ses près de 50 ans de créativité musicale. Cette tournée solo permettra au public de découvrir les facettes les plus intimes du musicien, qui a passé sa vie à explorer de nouvelles voies musicales. Les morceaux interprétés lors de cette tournée seront donc une sélection de ses pièces les plus personnelles et des préférés des fans, issus de sa riche discographie. Cette expérience unique permettra aux spectateurs de découvrir un autre aspect du génie créatif de PAT METHENY, qui continue de surprendre et d'émouvoir son public depuis près de cinq décennies."
52,Florent Peyre,2024-10-13T00:00:00+02:00,,"Spectacle au profit de l’association P’tits Bouts de Ficelle, une association humanitaire bisontine qui oeuvre pour l’enfance malade au CHRU Minjoz. Plus d’informations.",Grand Kursaal,2 Place du Théâtre,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/florent-peyre/661403162afa4/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/04/1-2.jpg,https://sortir.besancon.fr/evenement/florent-peyre/,"Événement caritatif au bénéfice de l'association P'tits Bouts de Ficelle, une organisation humanitaire basée à Besançon qui s'est donné pour mission de venir en aide aux enfants malades soignés au Centre Hospitalier Universitaire (CHRU) Minjoz. Cette association œuvre sans relâche pour améliorer les conditions de vie des petits patients et leur offrir un peu de réconfort durant leur séjour à l'hôpital. Grâce à cette soirée, il sera possible de récolter des fonds qui seront intégralement reversés à l'association pour soutenir ses actions en faveur de ces jeunes patients. L'événement promet d'être un moment convivial et émouvant, où le public pourra se divertir tout en apportant son aide à une noble cause. Les organisateurs ont mis les petits plats dans les grands pour offrir un spectacle de qualité qui correspondra aux attentes du public. Pour en savoir plus sur cet événement caritatif et l'association P'tits Bouts de Ficelle, nous vous invitons à consulter leur site internet ou leurs réseaux sociaux."
53,Clara Ysé,2024-10-16T00:00:00+02:00,,"Chevaux de feu, syncope aux fées. On dit qu’à l’origine, le poème était une chanson. Comme toutes les mythologies, celle-ci est devenue intraçable. Pourtant, à écouter Clara Ysé, ses mots-cavalcade, ses vers-prophétie, sa voix qui s’arque-boute de l’ombre à la lumière, on croit voir le poème incarné.",La Rodia,4 Avenue Chardonnet,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/clara-yse/65e5ab59ebb32/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/affiche-clarayse.jpg,https://sortir.besancon.fr/evenement/clara-yse/,"Les Chevaux de Feu, une syncope aux fées. Selon la légende, le poème était à l'origine un chant. Comme toutes les mythologies, celle-ci est devenue labyrinthique. Cependant, en écoutant Clara Ysé, on dirait que ses mots sont des cavaliers qui galopent librement, ses vers des prophéties qui s'égrèvent dans l'air, sa voix un arc-en-ciel qui relie les ténèbres à la lumière. Le poème prend vie sous son inspiration, comme si elle avait réussi à dompter le feu sacré pour en faire jaillir une beauté éthérée. Les mots s'enchaînent en une danse sauvage et mystérieuse, qui entraîne l'auditeur dans un tourbillon de sons et de sens. La voix de Clara Ysé est un instrument magique qui révèle les secrets du poème, comme si elle avait trouvé le chemin pour communiquer avec les fées elles-mêmes. Les Chevaux de Feu, cette fois, ne sont plus un simple titre, mais une réalité palpable qui prend possession de l'espace et du temps."
54,Alex Ramires dans « Panache »,2024-10-17T00:00:00+02:00,,Un spectacle sur la confiance ou faire semblant d’en avoir.,Grand Kursaal,2 Place du Théâtre,Besançon,25000.0,France,D2P,https://d2p.fr/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/02/1-11.jpg,https://sortir.besancon.fr/evenement/alex-ramires-dans-panache/,"Un jeu de rôle où l'on joue à être sûr de soi, ou du moins à donner cette impression. Une représentation qui met en scène la confiance, avec des acteurs qui interprètent leur rôle avec conviction, même si cela signifie se comporter comme si tout allait bien alors que rien ne va. Un spectacle qui nous fait croire que les choses sont différentes de ce qu'elles paraissent réellement, où l'on cache ses doutes et ses incertitudes derrière un masque de certitude. Une mise en scène de la confiance, qui peut être soit une façade, soit une réalité, mais qui nous fait nous demander ce qui se cache derrière les apparences. Un jeu de duplicité où l'on se demande qui est réellement sûr de lui et qui se contente de faire semblant. Une représentation qui soulève des questions sur la nature de la confiance et sur ce que signifie vraiment être sûr de soi."
55,Gwendoline,2024-10-17T00:00:00+02:00,,Le 17 octobre à 20h30,La Rodia,4 Avenue Chardonnet,Besançon,25000.0,France,La Rodia,https://larodia.com/agenda/gwendoline/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/gwendoline-9-alois-lecerf-800x800-1.jpg,https://sortir.besancon.fr/evenement/gwendoline/,"Le soir du 17 octobre, à 20 heures et 30 minutes, un événement exceptionnel se produira. Ce moment attendu avec impatience arrivera enfin, mettant fin à l'attente anxieuse des participants. La journée aura été longue, mais elle sera récompensée par cette expérience unique qui restera gravée dans les mémoires. Le temps semblera s'être arrêté, laissant place à une soirée inoubliable. Les heures précédentes auront été remplies d'excitation et de nervosité, mais tout cela sera oublié lorsque le moment fatidique arrivera enfin. Les participants se sentiront transportés dans un univers où le temps n'a plus aucune importance, où seule compte l'intensité de l'instant présent. C'est donc avec grande impatience que les gens attendent ce soir du 17 octobre, où tout sera mis en place pour une expérience mémorable. Le décor sera planté, les lumières seront ajustées et l'ambiance sera électrique. Rien ne sera laissé au hasard pour rendre cette soirée exceptionnelle. Les participants seront donc prêts à vivre un moment inoubliable, qui restera gravé dans leur mémoire comme un événement unique et exceptionnel. La soirée du 17 octobre sera donc une expérience que personne ne souhaite manquer, car elle promet d'être un moment de pure magie."
56,Elodie Poux (humour),2024-10-18T00:00:00+02:00,,"À force de s’entendre dire qu’il n’y a plus de places pour venir la voir en spectacle, Elodie Poux a décidé de rajouter des dates de son spectacle Le Syndrome du Papillon avec en bonus, quelques petites surprises…",Micropolis,3 Boulevard Ouest,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/elodie-poux/65572d76b1e0d/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/11/Template-Affiche-Siteweb-ElodiePoux.jpg,https://sortir.besancon.fr/evenement/elodie-poux-humour/,"Étant donné que la demande pour son spectacle Le Syndrome du Papillon était trop importante, Elodie Poux a pris la décision de proposer des dates supplémentaires pour satisfaire les nombreux fans qui souhaitaient assister à son show. Pour rendre cette expérience encore plus inoubliable, elle a également prévu quelques surprises en prime, ce qui promet d'être un véritable événement à ne pas rater. Grâce à ces nouvelles dates, les spectateurs auront la chance de découvrir ou de redécouvrir le talent exceptionnel d'Elodie Poux dans son spectacle Le Syndrome du Papillon, qui a déjà connu un immense succès auprès du public. Les amateurs de théâtre et de comédie vont ainsi pouvoir profiter pleinement de ce show unique en son genre, qui promet de les faire rire, réfléchir et s'émerveiller tour à tour. Avec ces nouvelles dates et ces surprises en prime, Elodie Poux offre aux spectateurs une expérience encore plus complète et encore plus inoubliable, qui restera longtemps gravée dans leur mémoire."
57,Caroline Estremo (humour),2024-10-22T00:00:00+02:00,,En Rodage (Normalement),Petit Kursaal,2 Place du Théâtre,Besançon,25000.0,France,NG productions,https://www.ticketmaster.fr/fr/manifestation/caroline-estremo-billet/idmanif/505759/idtier/24336092,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/Affichesite-estremo.jpg,https://sortir.besancon.fr/evenement/caroline-estremo-humour/,"Dans le processus de fabrication des pièces mécaniques, l'étape d'enrobage normal, également connue sous le nom d'enrobage primaire, est une opération cruciale qui contribue à améliorer les performances et la qualité finale du produit. Elle consiste à appliquer un revêtement sur la surface de la pièce pour en protéger l'intérieur contre les agents corrosifs et les chocs mécaniques. Cette étape est généralement réalisée après la fabrication de la pièce, mais avant son assemblage ou sa mise en service.

L'enrobage normal est une technique qui permet d'apporter des propriétés spécifiques à la surface de la pièce, telles que la résistance à la corrosion, la durabilité, la résistance aux chocs et la facilité d'entretien. Le choix du matériau d'enrobage dépend des exigences spécifiques de l'application et de l'environnement dans lequel la pièce sera utilisée.

Dans certaines applications, l'enrobage normal peut également servir à améliorer l'apparence de la pièce, en lui donnant une finition esthétique plus agréable. Cependant, son rôle principal reste la protection de la pièce contre les dégradations et les dommages.

L'enrobage normal est réalisée en appliquant un matériau d'enrobage spécifique sur la surface de la pièce, généralement à l'aide d'un procédé de projection ou de pulvérisation. Le matériau d'enrobage peut être composé de divers produits, tels que des résines, des céréales, des métaux ou des céramiques.

En résumé, l'enrobage normal est une étape clé dans la fabrication de pièces mécaniques, qui permet d'améliorer les performances et la qualité finale du produit en lui offrant une protection contre les agents corrosifs et les chocs mécaniques."
58,Nora Hamzawi,2024-10-23T00:00:00+02:00,,"De toute façon quand tes deux dernières recherches Google sont : « Temps parcours bombe atomique » et « Méthode pour rajeunir sans effort », ça me parait clair qu’il y a un rapport au monde qui n’est pas sain.",Le Scènacle,6 Rue de la Vieille Monnaie,Besançon,25000.0,France,NG productions,https://ngproductions.fr/spectacle/nora-hamzawi/65491f3087382/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2023/12/Template-Affiche-Siteweb-Nora.jpg,https://sortir.besancon.fr/evenement/nora-hamzawi/,"De quelque manière que ce soit, lorsque les deux dernières recherches Google sont « Temps parcours bombe atomique » et « Méthode pour rajeunir sans effort », cela me laisse penser qu'il y a une connexion avec un univers qui n'est pas équilibré. Il semblerait que certaines préoccupations soient en train de prendre le dessus, peut-être liées à la peur de l'avenir ou à la recherche d'une jeunesse éternelle. Les mots-clés utilisés dans ces recherches suggèrent une forme d'anxiété face aux menaces qui pèsent sur l'humanité et une quête de solutions rapides et faciles pour résoudre les problèmes. Cela peut également indiquer une certaine méconnaissance des enjeux scientifiques et des principes fondamentaux qui régissent notre monde, ainsi qu'une tendance à privilégier des solutions miraculeuses plutôt que d'aborder les problèmes de manière réfléchie et constructive. Dans cet univers où la bombe atomique et le rajeunissement sont considérés comme des thèmes de recherche, il est probable que les valeurs et les priorités soient quelque peu décalées."
59,Eric Cantona,2024-10-23T00:00:00+02:00,,"« Au-delà de la ligne de touche, il n’y a rien » affirmait Jacques Derrida, philosophe qui s’était rêvé footballeur dans sa jeunesse.",La Rodia,4 Avenue Chardonnet,Besançon,25000.0,France,La Rodia,https://larodia.com/agenda/eric-cantona-cantona-sings-eric/,Spectacle,https://sortir.besancon.fr/wp-content/uploads/2024/03/redim-cantona-lyon-28-celsa-schulhof-800x800-1.png,https://sortir.besancon.fr/evenement/eric-cantona/,"Au-delà du terrain de jeu, il n'y a plus rien qui compte, affirmait Jacques Derrida, le philosophe qui, dans sa jeunesse, avait rêvé d'être un footballeur accompli. Selon lui, lorsque l'on dépasse la ligne de touche, on entre dans un espace où les règles du jeu ne s'appliquent plus, où il n'y a plus de limites ni de repères. C'est comme si l'on avait quitté le monde connu pour entrer dans une zone de non-droit, où tout est possible et où rien n'a d'importance. Cette idée peut sembler surprenante venant d'un philosophe qui a passé sa vie à réfléchir aux concepts de limite, de bordure et de démarcation. Mais pour Derrida, cette ligne de touche symbolise également la frontière entre l'ordre établi et le chaos, entre le monde civilisé et l'univers sauvage. En franchissant cette ligne, on quitte le terrain des règles et des conventions pour entrer dans un espace où tout est à reconstruire, où il n'y a plus de repères ni de garanties. Cette idée peut être appliquée à de nombreux domaines, notamment la philosophie, la politique ou l'art, où les frontières entre le permis et l'interdit sont souvent floues et sujettes à interprétation."
